种 图形 明显 不同于 转移性
包括 分化 较 好 的
Ⅲ波 振幅 比较 大 ，
Ⅲ波 作为 判断 ABR 阈值
32kHz 上 较 KM 注射
HE 染色 显示 ， 对照组
纹 无 明显 变化 ；
； SGCs 部分 坏死 ，
萎缩 ， 部分 细胞 空
中 没有 明显 改变 （
后 ， 相对 注射 前
细胞 密度 明显 下降 （
SGCs 密度 相对 对照组 有
对照组 有 明显 下降 （
毛 细胞 部分 缺失 ，
毛 细胞 大量 消失 ，
毛 细胞 部分 缺失 ，
毛 细胞 部分 缺失 ，
毛 细胞 基本 不 存
内毛 细胞 大量 减少 ，
毛 细胞 部分 缺失 ，
乙醇 ， 观察 给药 前后
Blank 结果 显示 ， 6.25
参数 无 明显 影响 。
的 乙醇 可 引起 心房肌
APD 90 明显 延长 （
< 0.05 或 P <
< 0.05 或 P <
Blank 结果 显示 ， 6.25
参数 无 明显 影响 。
Blank Blank 相对 对照组 ，
的 乙醇 可 引起 心室
APD 90 明显 延长 （
< 0.05 或 P <
中 ， 将 细胞膜 电位
细胞 ， 可 见 Kv1.5 通道
2 A 显示 ， 将
显示 ， 将 细胞 钳制
细胞 ， 可见 25.0~200.0mmol/L 乙醇
25.0~200.0mmol/L 乙醇 可 显著 抑制
Blank Blank 相对 正常 对照
） ， 显示 该 抑制
抑制 作用 呈现 浓度 依赖性
Blank Blank 将 构建 好
蛋白质 的 含量 ； 结果
； 结果 显示 ， 敲
） ， 表明 构建 的
干涉 质粒 能 有效 地
Blank Blank 将 HeLa 细胞
中 ， 将 构建 好
Blank Blank 将 HeLa 细胞
中 ， 将 构建 好
S期 细胞 数 分别 下降
这些 结果 提示 ， c-SRC
敲 减 可 阻滞 HeLa
Blank Blank 将 构建 好
蛋白 的 含量 。 Blank
p-STAT3 蛋白 含量 降低 了
） ， 提示 c-SRC 含量
提示 c-SRC 含量 的 变化
的 变化 可以 改变 HeLa
p-STAT3 的 含量 。 Blank
Piceatan-nol 、 或 Piceatannol 预处理
Blank 结果 显示 ， 与
未 见 明显 增加 （
Westernblot 结果 显示 （ 图
阴性 对照 比较 ， 人
表达 无 明显 差异 。
蛋白 表达 明显 下降 （
Lane4 ） 较 A组 （
抑制 作用 略 强 ，
， 结果 表明 转染 Beclin1
表达 无 明显 影响 。
增强 ， 大量 自噬 空泡
] ， 表明 H2O2 引起
后 ， 能够 明显 抑制
， 能够 明显 抑制 H2O2
） ， 提示 Beclin1 基因
相比 ， 当 转染 Beclin1
Blank Blank 说明 通过 RNAi抑制
细胞凋亡 率 明显 增加 ，
） ， 表明 抑制 Beclin1
水平 下降 能够 促进 细胞凋亡
增殖 无 明显 影响 ，
稀释液 均能 明显 促进 肿瘤
后续 实验 部分 均 采用
显微镜 下 观察 发现 ，
下 观察 发现 ， 相同
黏附 细胞 数 明显 多于
细胞 数 明显 多于 TCM
值 也 显示 ， TCM
黏附 细胞 数 显著 少于
黏附 能力 明显 降低 。
Blank TCM 能 显著 提高
Blank 本 研究 应用 PCR
200 bp 显示 有 一
吻合 ， 表明 CyclinD1 反义
进行 了 证实 ） 。
在 4000bp 显示 单一 条带
弥散 和 多条 带 现象
现象 ， 表明 成功 对
电泳 结果 显示 在 200
条带 ， 表明 片段 回收
的 方法 较 难 区分
电泳 结果 显示 在 200
） ， 表明 成功 构建
测序 也 证实 了 构建
Blank Blank 将 各 组
后 ， 发现 转染 组
和 粘附性 明显 减弱 ，
漂浮 现象 严重 ， 细胞质
细胞凋亡 现象 较 明显 。
现象 较 明显 。 Blank
术 检测 显示 转染 组
生长 曲线 显示 （ 图
未 见 明显 差异 。
开始 出现 明显 的 增殖
细胞 没有 明显 的 增殖
两 组 之间 没有 显著
体组 相 比较 ， 转染
的 表达 明显 降低 （
） ， 表明 Cy-clinD1 反义
反义 核酸 能够 明显 抑制
核酸 能够 明显 抑制 CyclinD1
的 表达 之间 无 明显
之间 无 明显 差异 。
体组 相 比较 ， 转染
出现 了 明显 下降 ，
下降 ， 提示 了 CylinD1
生长 ， 可能 与 这些
上述 蛋白 之间 无 明显
之间 无 明显 差异 （
相比 无 明显 差异 ，
8 天 部分 新生 微血管
， 局部 可 见 组织 碎片
； 但 部分 血管 延长
d ， 一些 区域 细胞
融合 ， 一些 区域 细胞
细胞 伸出 多 个 细长 伪足
显微镜 下 可 见 rBMSC-ECs 呈
60 mmol/L组 较 rBMSC-ECs 与
细胞 数量 明显 增加 ，
分 支数 较 rBMSC-ECs 与
培养 组 明显 减少 （
培养 组 一些 血管 环
环 附近 可见 较 多
附近 可见 较 多 散落 的
碎片 ； 一些 新生 微血管
血管 环 较 远处 仍
远处 仍 可 见到 较
可 见到 较 粗 的
Blank Blank 一些 rBMSC-ECs 出芽
， 与 邻近 细胞 相互
HA-1077 组 大多数 样本 血管
新生 微血管 几乎 完全 退化
微血管 几乎 完全 退化 ，
染色 ， 显示 血管 环
微血管 的 基本 骨架 为
细胞 内 呈现 大量 粗大
内 呈现 大量 粗大 的
血管 环组 比较 ， 血管
蛋白 表达 稍 增强 。
表达 均 稍 减少 （
水平 的 比较 研究 Blank
的 比较 研究 Blank Blank
激素 水平 之间 的 差异
< 0.05 或 P <
< 0.05 或 P <
二 者 之间 无 明显
之间 无 明显 差异 ；
二 者 之间 无 明显
之间 无 明显 差异 ；
的 Hb 含量 、 HR
mPAP 值均 较 藏 系
< 0.05 或 P <
相关 、 偏 相关 分析
分析 ， 将 有 相关
， 以 显示 线性 相关
Blank Blank 急性 低 血压
和 甘氨酸 含量 的 影响
120 h 基本 消失 ；
168 h 基本 消失 。
的 收缩压 约 为 （ 106.2±9.5
SNP 诱发 急性 低 血压
血压 下降 约 30% 时
和 Gly 含量 明显 降低
Gly 含量 明显 降低 ，
Blank 为了 探讨 诱发 急性
探讨 诱发 急性 低 血压
和 Gly 含量 变化 是否
含量 变化 是否 通过 外周
Blank 结果 显示 ， 股
SNP 诱发 急性 低 血压
和 Gly 含量 明显 降低
Gly 含量 明显 降低 ，
） ， 表现 出 与 对照组
和 Gly 含量 没有 发生
没有 发生 明显 改变 ，
， 且 明显 区别于 正常
创 木酸 部分 抑制 大鼠
后 ， 相对 假 手术组
半球 存在 明显 梗死 灶
< 0.05 或 P <
< 0.05 或 P <
周围 有 大量 IgG 渗出
Blank Blank 相对 模型 组
< 0.05 或 P <
Blank Blank 相对 模型 组
< 0.05 或 P <
后 ， 相对 假 手术组
聚集 没有 明显 变化 （
后 ， 相对 假 手术组
阳性 血管 数 显著 增加
阳性 血管 数 明显 减少
血管 数 明显 减少 （
< 0.05 或 P <
后 ， 相对 假 手术组
后 ， 相对 假 手术组
和 CysLTs 含量 显著 增加
相比 没有 明显 差异 [
] ， 提示 右心室 内
） ， 表明 右 心室
以上 结果 表明 慢性 肺
Blank 镜下 可 见 CON 组
完整 ， 可 见 中 膜
中外 径 相近 的 肺
动脉 平滑肌 明显 增厚 ，
增厚 ， 提示 MCT 使
TRPC6mRNA 的 相对 水平 在
两 组 之间 没有 显著
差异 ， 表明 MCT 对
白 的 相对 水平 在
两 组 之间 没有 显著
差异 ， 说明 MCT 对
] ， 提示 MCT组 大鼠
， 随后 将 孵育液 置换
Blank 结果 显示 ， MCT组
] ， 提示 MCT 可
提示 MCT 可 上调 ROCE
中 GH 含量 轻度 减少
GH 含量 轻度 减少 。
， GH 含量 进一步 减少
减少 ， 当 浓度 增加
， GH 含量 减少 到
） ， 提示 活化 素
活化 素 能 抑制 GH
液中 GH 含量 也 随
Blank Blank 将 细胞 培养液
的 GH 含量 相加 （
相加 （ 表示 GH 的
） ， 发现 活化 素
活化 素 能 剂量 依赖性
使 之 最 低 仅
后 ， 观察 到 GH3
表达 分别 明显 减少 别到
Blank Blank 提示 活化 素
活化 素 可 抑制 GH3
GH3 细胞 能 稳定 表达
荧光素酶 ， 将 细胞 接种
1μmol/L ） 能 促进 GH3
荧光素 表达 较 单 加
以上 结果 显示 C6ceramide 能
显示 C6ceramide 能 完全 抵消
C6ceramide 能 完全 抵消 活化
作用 ， 提示 依赖 MAPK
转导 途径 可能 参与 活化
为了 进一步 证实 活化 素
Blank 结果 表明 ， 细胞
处理 组 之间 没有 明显
之间 没有 明显 差异 ，
， 而 当 我们 用
， 却 发现 活化 素
的 活性 明显 降低 （
Blank Blank 将 含 hGH
后 ， 观察 到 484-Luc
活化 素 能 抑制 转染
表达 没有 明显 影响 。
Blank Blank 提示 活化 素
关键 序列 可能 在 -132
~-66 bp 之间 。 Blank
后 ， 可见 少量 贴壁
， 可见 少量 贴壁 细胞
纤维 样 或 内皮 细胞
1 周 左右 细胞 达
， 平行 或 螺旋形 排列
生长 面 可 见 上 百
也 是 最 重要 的
干 细胞 是否 定向 分化
染色 结果 显示 ， hUC-MSCs
， PDX-1 主要 在 诱导
， 既 可 与 胰岛素
抗体 又 可 与 C肽
、 PI 或者 兼而有之 ）
阳性 反应 表明 ILCs 可
表明 ILCs 可 产生 真
、 PI 或 兼而有之 。
RT-PCR 结果 显示 ， hUC-MSCs
） ， 说明 诱导 的
清 中 可 检测 到
蛋白 ； 说明 诱导 后
后 ILCs 可 合成 和
电泳 图谱 十分 相似 ，
图谱 十分 相似 ， Westernblot
， Westernblot 证实 ， 在
在 分子量 约 9.0kDa （
PI ） 左右 出现 了
（ 分子量 约 5.7kDa ）
阳性 条带 很 弱 ，
均 有 明显 阳性 条带
， 但 含量 甚微 ，
检测 ， 说明 所 诱导
， 仅 相当于 胚胎 时期
分化 实验 证明 移植 的
结果 ， 可 见 胞 浆
中 有 大量 被 染成
结节 随处 可 见 。 Blank
后 未 发现 间充质 干
小鼠 造成 明显 不良 影响
， 并且 观察 到 移植
二 者 之间 无 统计学
Blank 同时 发现 补充 组
杂交 结果 表明 ， 在
结肠 等 多数 脏器 都
脏器 都 能 检测 到
检测 到 大量 的 植入 的
二 者 之间 的 心脏
、 MDA 含量 、 GSH-PX
的 脾脏 指 数量 ，
各 脏器 呈现 较 衰老
脏器 呈现 较 衰老 状态
， 具体 表现 在 以下
在 以下 几 个 方面 。
样 改变 明显 ， 心肌
样 改变 明显 （ 图
远端 小管 明显 萎缩 ，
变小 ， 近 端 小管
上皮 细胞 相对 减少 ，
气肿 改变 明显 ： 气腔
， 毛囊 数 明显 减少
毛囊 数 明显 减少 ，
组织 结构 相对 较 完整
结构 相对 较 完整 ，
细胞 分层 较 清晰 （
显微镜 下 可 见 心肌 细胞
、 三角形 或 星形 ，
， 并 可 见 明显 的
可 见 明显 的 同步
搏动 频率 约 90 ~
下 ， 可见 胞 浆
胞 浆 呈现 α-actin 的
， 颗粒状 或 弥散 分布
， 搏动 明显 且 节律
伪足 缩短 或 消失 、
搏动 频率 较 Control 组
Control 组 明显 下降 （
细胞 生长 较 好 ，
搏动 频率 较 快 ，
H/R 组 相似 ， 搏动
， 搏动 明显 减慢 ，
H/R 组 接近 ； H/R+AraA
组 生长 较 差 ，
H/R组 相比 明显 减慢 （
DNA 呈 明显 的 非随机
、 800bp 左右 出现 了
消失 ， 接近 正常 基因组
组 亦 表现 为 DNA 梯状
检测 结果 显示 ， H/R组G0
个 DNA 含量 减少 的
细胞凋亡 率 较 Control 组
Control 组 明显 增高 （
细胞凋亡 率 较 H/R+APN 组
H/R+APN 组 明显 升高 （
组 MDA 较 Control 组
Control 组 明显 升高 （
H/R+APN组 MDA 相对 H/R 组
H/R 组 明显 降低 ，
组 MDA 相对 H/R+APN 组
活性 则 明显 低于 H/R+APN组
荧光 强度 明显 高于 Control组
荧光 强度 明显 低于 H/R
钙 浓度 明显 升高 （
Thr-172 ） 含量 与 Control
； 而 相对 H/R 组
） ， 表明 AMPK 抑制剂
抑制剂 AraA 能 明显 减弱
AraA 能 明显 减弱 APN
增加 p-AMPK 含量 的 作用
凝胶 电泳 显示 在 906bp
相符 ， 提示 cyclinD1 片段
公司 测序 证实 插入 片段
Blank Blank 表明 pIRES2-EGFP-ascyclinD1 构建
0.15 ） 比较 ， 空载
） 无 明显 变化 （
CSE 组 比较 ， 空载体
0.10 ） 明显 降低 （
0.05 ） 比较 ， 空载
） 无 明显 变化 （
CSE 组 比较 ， 空载体
0.06 ） 明显 降低 （
与 对照组 比较 ， 5%
细胞 比例 明显 升高 （
CSE 组 比较 ， 反义
细胞 比例 明显 升高 （
与 对照组 比较 ， 5%
迁移 数目 明显 升高 （
CSE 组 比较 ， 反义
细胞 数目 明显 降低 （
电位 则 明显 高于 缺血
caspase-3 表达 明显 高于 假
蛋白 表达 明显 低于 假
蛋白 表达 明显 降低 ，
蛋白 表达 明显 升高 （
黏膜 细胞 可 见到 典型
带 ， 表现 为 长度 为
下层 只有 少量 散 在
细胞 数量 明显 增加 （
细胞凋亡 亦 明显 加重 （
细胞凋亡 率 明显 低于 缺血
对照组 均 明显 升高 ，
大鼠 没有 明显 差异 。
， 未 发现 给予 UII
大鼠 有 明显 差异 （
实验 结果 显示 ， 在
相比 对照组 明显 降低 ，
相比 没有 明显 差异 。
， 未 发现 给予 UII
对照组 有 明显 差异 （
实验 结果 显示 ， 相对
显示 ， 相对 对照组 ，
分泌量 均 明显 降低 ，
剂量 组 之间 相 比较
之间 相 比较 ， UII
剂量 组 之间 没有 显著
10 min 可以 完全 阻断
min 可以 完全 阻断 UII
相比 没有 明显 差异 。
虽 有 明显 下降 （
） ， 表明 CTC 可以
表明 CTC 可以 部分 阻断
CTC 可以 部分 阻断 UII
） ， 表明 CTC 也
CTC 也 可以 部分 阻断
也 可以 部分 阻断 UII
分泌 的 可能 ， 实验
实验 还 研究 了 单独
， 结果 显示 ， 单独
相比 没有 明显 差异 （
内 胰岛素 含量 ， 发现
含量 ， 发现 UII 各
内 胰岛素 含量 与 对照组
相比 没有 明显 差异 ，
PCR 结果 显示 ， 无论是
无论是 Ins2mRNA 还是 Ins1mRNA 水平
与 对照组 之间 无 明显
之间 无 明显 差异 （
， 结果 显示 ， 和
水平 没有 明显 变化 ，
GCK 水平 明显 下降 ，
GCK 蛋白 含量 均 没有
均 没有 明显 变化 （
和 CSS 可以 阻断 UII
细胞 大小 较 均匀 ，
， 染色 较 浅 ，
SAH 组 部分 神经 细胞
周围 分界 明显 。 Blank
SAH+CLB 组 可 见 神经 细胞
边集 ， 部分 核 碎裂
碎裂 ， 部分 神经元 周围
呈 圆形 或 椭圆形 ，
组 细胞 部分 凋亡 ，
折缝样 ， 部分 染色质 出现
的 染色质 高度 凝聚 、
组 有 大量 细胞凋亡 ，
， 且 多 属于 凋亡
： 染色质 高度 凝聚 、
月形 ， 可 见 核 碎裂
SAH 组见 较 多 的 TUNEL 阳性
正常 对照组 比较 有 显著性
SAH+CLB 组 可 见 大量 TUNEL
可 见 大量 TUNEL 阳性
SAH 组 比较 有 显著性
SAH 组 可见 较 多
组 可见 较 多 的 免疫 阳性
正常 对照组 比较 有 显著性
组 有 大量 免疫 阳性
SAH 组 比较 有 显著性
SAH 组 可见 较 多
组 可见 较 多 的 免疫 阳性
正常 对照组 比较 有 显著性
SAH+CLB 组 可 见 少量 Bcl-2
可 见 少量 Bcl-2 免疫
SAH 组 比较 有 显著性
特性 的 多 电极 记录
电极 记录 研究 Blank Blank
MEA 上 可以 记录 到
区域 各 部分 锥体 细胞
上 的 研究 显示 [
的 研究 显示 [ 2
记录 时 表现 为 叠加 于
海马 切片 多 个 区域 同步
到 的 多 区域 同步
放电 ， 显示 簇样 放电
动作 电位 之间 的 时间
上 的 研究 结果 类似
2 C 可 见 ， 该
电位 ， 可以 发现 在
， 可以 发现 在 簇样
电位 发放 比较 密集 ，
时 发放 较 稀疏 ，
稀疏 ， 提示 ISI 在
切片 上 很 少 观察
很 少 观察 到 自发
后 ， 会 先 观察
会 先 观察 到 神经元
到 神经元 明显 的 兴奋性
的 兴奋性 表现 ， 出现
， 出现 少量 的 自发
定量 描述 多 电极 记录
个 参数 会 呈现 不断
参数 会 呈现 不断 变化
稳态 ， 表现 为 上述 各
但 没有 明显 的 变化
值 的 相对 值 （
Blank Blank 可以 看出 一旦 稳定
可以 看出 一旦 稳定 的
种 状态 至少 可以 保持
状态 至少 可以 保持 40
， 均 显示 类似 的
时 也 显示 了 类似
Blank 为了 比较 海马 不同
特性 ， 将 海马 分为
Blank 结果 显示 ， 在
簇样 放电 可 见于 海马
的 结果 提示 ， 尽管
不同 切片 之间 的 差异
的 差异 较 大 ，
频率 都 明显 低于 CA
都 进一步 证实 了 DG
的 阈值 较 高 [
CA 亚区 之间 的 4
Blank 结果 提示 ， 在
亚区 活动性 之间 无 统计学
脑 片 之间 ， 每
个数 差异 较 大 （P
Blank 这 提示 在 高
放电 模式 相似 。 Blank
后 （ 约 15 min
图 4 显示 了 一
中 虚线 显示 了 对应
Blank Blank 可以 发现 CA1
Blank 可以 发现 CA1 区
抑制 ， 部分 邻近 CA3
， 部分 邻近 CA3 a
b区 的 部分 区域 仍
区域 仍 可 出现 较
可 出现 较 强 的
变化 的 比较 Blank Blank
） 则 明显 小于 昆明
分析 结果 显示 ： 棕色
， 但 能 使 HCT（F（1，30
的 HGB 含量 差异 不
P=0.008 ） 相对 昆明 小鼠
昆明 小鼠 较 低 ，
） 则 较 高 。
分析 结果 显示 ： 两
的 HGB 含量 差异 不
低氧 处理 可 显著 提高
的 HGB 含量 （ F（1，30
方差 分析 表明 ， 棕色
的 方法 可以 得到 较
可以 得到 较 高 纯度
后 OECs 完全 贴壁 。
d 后 可 见 典型 的
双极 、 多 突起 形
Blank Blank 绝大部分 细胞 呈
呈 双 极 细胞 形态
其中 还 可 见 极少数 的
可 见 极少数 的 扁平
和 forskolin 能 显著 促进
显微镜 下 观察 OECs 胞
7d 后 可 铺 被盖
接种 后 约 6 h
显微镜 下 观察 SGCs 胞
存活 数量 明显 高于 SGCs
方差 分析 显示 P =
天 出现 大幅度 减少 ，
组 中 几乎 没有 SGCs 生长
未 见 明显 变化 （
为 初步 研究 OECs 促进
本 实验 观察 了 BDNF
BDNF 的 可能 作用 。
BDNF ， 可 见 有 大量
见 有 大量 SGCs 在
培养 组 比较 ， SGCs
SGCs 数量 明显 减少 （
培养 组 比较 ， 该组
化学 检测 显示 中性 粒
细胞 均 可 见 mGluR1 及
Real-timePCR 也 证实 ， 中性
Blank 为 探讨 mGluRI 的
Blank Blank 发现 当 S-DHPG
Blank 发现 当 S-DHPG 单独
< 0.05 或 P <
0.5~5h ， 发现 当 S-DHPG
， 发现 当 S-DHPG 单独
， 即 可 促进 中性
， 本 研究 观察 了
本 研究 观察 了 mGluRI
排除 S-DHPG 可能 的 其它 非
Blank 结果 显示 ， 单纯
率 无 明显 影响 ，
， 但 可 有效 抑制
术 检测 显示 ， mGluRI
与 对照组 比较 均 显著
Blank Blank 说明 mGluRI 的
的 激活 可以 明显 提高
激活 可以 明显 提高 中性
Blank Blank 将 pCMV-HA2-LASS2 质粒
中 清晰 可 见 HA2-LASS2 蛋白
120h ， 相对 空白 对照组
） ， 表明 LASS2 对
该 结果 提示 LASS2 基因
+ 不 能 跨膜 运输
Blank Blank 相对 空白 对照组
该 结果 提示 LASS2 过
提示 LASS2 过 表达 促进
Blank Westernblot 发现 ： 与
中 Cytc 含量 明显 升高
Cytc 含量 明显 升高 （
中 Cytc 含量 则 显著
活性 pro-caspase-3 含量 则 明显
含量 则 明显 减少 （
， 具有 明显 电压 依赖性
Blank Blank 当 去极化 到
图1C ） 可 见 ， 4-AP
- 20mV 左右 ， 去
pA ， 远 低于 未加
） ， 表明 通道 的
电流 受到 明显 的 抑制
Blank 结果 表明 ， MCF10A
有 这 几 种 Kv 通道
与 MCF7 比较 ， Kv1.1
mRNA 表达 较 少 ，
Kv1.5 表达 明显 较 多
表达 明显 较 多 （ P
Westernblot 结果 显示 （ 图
表达 有 较 大 差异
细胞 中 几乎 检测 不到
Blank Blank 提示 ， 不同
的 增殖 明显 受到 抑制
生长 抑制率 可 达到 25.29%
Blank 结果 显示 ， 正常
p-ERK1/2 表达 很 少 ，
少 ， 表明 通路 处于
升高 ， 提示 血清 中
生长 因子 可 激活 ERK
通路 ； 若 先 用
， 结果 显示 4-AP 没有
活性 ， 发现 4-AP 处理
Blank 结果 提示 ， 4-AP
的 增殖 可能 主要 通过
增殖 可能 主要 通过 调节
图像 结果 显示 细胞 紧密
中 ， 可以 清晰 地
及 细胞 之间 形成 的
清楚 地 研究 MDCK 细胞
图 中 可 清晰 地
表面 被覆 多 个 微绒毛 及
到 其中 一些 由 多
一些 由 多 个 微绒毛 聚集
动态 特征 研究 成果 [
， 本 研究 选用 呈
控制 软件 将 扫描 所
的 宽度 约 为 50 nm
nm ， 显示 我们 构建
膜片钳 技术 可以 实现 纳米
